batchYear,breed,_id,sex,status
2012,RJF,3142,U,U
2012,RJF,3143,M,U
2012,RJF,3144,F,U
2012,RJF,3145,F,U
2012,RJF,3146,U,U
2012,RJF,3147,U,U
2012,RJF,3148,F,U
2012,RJF,3150,U,U
2012,RJF,3151,U,U
2012,RJF,3152,F,U
2012,RJF,3153,M,U
2012,RJF,3154,M,U
2012,RJF,3155,U,U
2012,RJF,3156,U,U
2012,RJF,3157,U,U
2012,RJF,3158,U,U
2012,RJF,3159,U,U
2012,RJF,3160,U,U
2012,RJF,3161,U,U
2012,RJF,3162,U,U
2012,RJF,3163,U,U
2012,RJF,3164,U,U
2012,RJF,3165,U,U
2012,RJF,3166,U,U
2012,RJF,3168,U,U
2012,RJF,3169,F,U
2012,RJF,3170,M,U
2012,RJF,3171,U,U
2012,RJF,3172,U,U
2012,RJF,3173,U,U
2012,RJF,3174,U,U
2012,RJF,3175,U,U
2020,RJF,5701,U,A
2020,RJF,5702,U,A
2020,RJF,5704,U,A
2020,RJF,5705,U,A
2020,RJF,5706,U,A
2020,RJF,5707,U,A
2020,RJF,5710,U,A
2020,RJF,5711,U,A
2020,RJF,5712,U,A
2020,RJF,5713,U,A
2020,RJF,5716,U,A
2020,RJF,5717,U,A
2020,RJF,5718,U,A
2020,RJF,5719,U,A
2020,RJF,5720,U,A
2020,RJF,5723,U,A
2020,RJF,5724,U,A
2020,RJF,5725,U,A
2020,RJF,5726,U,A
2020,RJF,5728,U,A
2020,RJF,5730,U,A
2020,RJF,5733,U,A
2020,RJF,5734,U,A
2020,RJF,5738,U,A
2020,RJF,5739,U,A
2020,RJF,5742,U,A
2020,RJF,5743,U,A
2020,RJF,5744,U,A
2020,RJF,5746,U,A
2020,RJF,5748,U,A
2020,RJF,5749,U,A
2020,RJF,5755,U,A
2020,RJF,5758,U,A
2020,RJF,5763,U,A
2020,RJF,5769,U,A
2020,RJF,5770,U,A
2020,RJF,5772,U,A
2020,RJF,5773,U,A
2020,RJF,5774,U,A
2020,RJF,5776,U,A
2020,RJF,5777,U,A
2020,RJF,5778,U,A
2020,RJF,5779,U,A
2020,RJF,5780,U,A
2020,RJF,5781,U,A
2020,RJF,5782,U,A
2020,RJF,5783,U,A
2020,RJF,5784,U,A
2020,RJF,5785,U,A
2020,RJF,5786,U,A
2020,RJF,5787,U,A
2020,RJF,5788,U,A
2020,RJF,5790,U,A
2020,RJF,5791,U,A
2020,RJF,5794,U,A
2020,RJF,5795,U,A
2020,RJF,5796,U,A
2020,RJF,5798,U,A
2020,RJF,5799,U,A
2020,RJF,5800,U,A
2017,RJF,7701,U,U
2017,RJF,7702,F,U
2017,RJF,7704,U,U
2017,RJF,7705,U,U
2017,RJF,7707,U,U
2017,RJF,7708,M,U
2017,RJF,7709,M,U
2017,RJF,7710,U,U
2017,RJF,7711,U,U
2017,RJF,7712,U,U
2017,RJF,7713,M,U
2017,RJF,7714,U,U
2017,RJF,7715,U,U
2017,RJF,7716,U,U
2017,RJF,7717,U,U
2017,RJF,7718,U,U
2017,RJF,7719,U,U
2017,RJF,7720,U,U
2017,RJF,7721,U,U
2017,RJF,7722,U,U
2017,RJF,7723,U,U
2017,RJF,7724,U,U
2017,RJF,7725,U,U
2017,RJF,7727,U,U
2017,RJF,7728,U,U
2017,RJF,7729,U,U
2017,RJF,7730,U,U
2017,RJF,7731,U,U
2017,RJF,7732,U,U
2017,RJF,7733,U,U
2017,RJF,7735,F,U
2017,RJF,7736,U,U
2017,RJF,7737,U,U
2017,RJF,7738,M,U
2017,RJF,7739,M,U
2017,RJF,7740,F,U
2017,RJF,7741,U,U
2017,RJF,7742,U,U
2017,RJF,7744,U,U
2017,RJF,7745,U,U
2017,RJF,7746,U,U
2017,RJF,7747,U,U
2017,RJF,7748,F,U
2017,RJF,7749,F,U
2017,RJF,7750,M,U
2017,RJF,7752,U,U
2017,RJF,7753,M,U
2017,RJF,7754,F,U
2017,RJF,7755,U,U
2017,RJF,7756,U,U
2017,RJF,7757,U,U
2017,RJF,7758,F,U
2017,RJF,7759,U,U
2017,RJF,7760,U,U
2017,RJF,7761,U,U
2017,RJF,7762,U,U
